Laporan-Iklan-Produk - Shopee Indonesia
Username,danuraif
Nama Toko,ghizagaleri
ID Toko,73046353
Nama Iklan,"Rak helm gantung 3,4,5 susun / gantungan helm dinding, Tempat helm kayu / gantungan helm susun kayu [2]"
No. Produk,29351024010
,
Waktu Laporan Dibuat,19/01/2026 22:08
Periode,19/12/2025 - 19/01/2026


Bidding Otomatis
Urutan,Kata Pencarian/Penempatan,Tipe Pencocokan,Hasil Pencarian,Mode Bidding,Penempatan Iklan,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Rata-rata Peringkat Iklan,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung)
1,Pilih Otomatis,-,-,GMV Max ROAS,Semua Penempatan,45169,1576,3.49%,51,50,3.24%,3.17%,12169.31,12412.69,54,53,1828600,1800100,620635,14,2.95,2.90,33.94%,34.48%
